        step	          pH	        temp	         Alk	          mu	     pct_err	      m_Ca+2	      m_Mg+2	        m_K+	       m_Na+	     m_HCO3-	    m_H4SiO4	      m_Al+3	     la_Ca+2	     la_Mg+2	    la_HCO3-	  si_Calcite	 si_Dolomite	 si_Gibbsite	si_Kaolinite	   si_Quartz	si_Anorthite	 si_Diopside	si_Forsterite	 k_Anorthite	dk_Anorthite	  k_Diopside	 dk_Diopside	k_Forsterite	dk_Forsterite	        Step	          pH	  Alkalinity	     Ca_conc	     Mg_conc	   HCO3_conc	
          40	     4.84695	      18.000	-1.36187e-05	 0.000150598	     77.9022	  3.0075e-05	  1.7017e-05	  4.0001e-05	  2.0001e-05	  3.7577e-07	  5.1763e-05	  6.7205e-07	 -4.5460e+00	 -4.7933e+00	 -6.4311e+00	     -8.0825	    -16.3759	     -0.1973	      0.0000	     -0.2000	    -13.7018	    -18.9875	    -23.6469	  1.5000e+00	 -8.0458e-08	  8.0000e-01	 -1.8179e-08	  3.0000e-01	 -1.0063e-06	  4.0000e+01	  4.8469e+00	 -1.3619e-05	  3.0075e-05	  1.7017e-05	  3.7577e-07	
          41	     4.84905	      18.000	-1.35507e-05	 0.000150621	     77.9006	  3.0078e-05	  1.7068e-05	  4.0001e-05	  2.0001e-05	  3.7754e-07	  5.1763e-05	  6.6237e-07	 -4.5460e+00	 -4.7920e+00	 -6.4291e+00	     -8.0783	    -16.3663	     -0.1973	      0.0000	     -0.2000	    -13.6976	    -18.9778	    -23.6359	  1.5000e+00	 -8.2470e-08	  8.0000e-01	 -1.8633e-08	  3.0000e-01	 -1.0314e-06	  4.1000e+01	  4.8490e+00	 -1.3551e-05	  3.0078e-05	  1.7068e-05	  3.7754e-07	
          42	     4.85117	      18.000	-1.34825e-05	 0.000150645	      77.899	  3.0080e-05	  1.7118e-05	  4.0001e-05	  2.0001e-05	  3.7933e-07	  5.1763e-05	  6.5276e-07	 -4.5460e+00	 -4.7907e+00	 -6.4270e+00	     -8.0741	    -16.3566	     -0.1973	      0.0000	     -0.2000	    -13.6933	    -18.9680	    -23.6248	  1.5000e+00	 -8.4481e-08	  8.0000e-01	 -1.9088e-08	  3.0000e-01	 -1.0566e-06	  4.2000e+01	  4.8512e+00	 -1.3482e-05	  3.0080e-05	  1.7118e-05	  3.7933e-07	
          43	      4.8533	      18.000	-1.34141e-05	 0.000150669	     77.8974	  3.0083e-05	  1.7169e-05	  4.0001e-05	  2.0001e-05	  3.8115e-07	  5.1763e-05	  6.4322e-07	 -4.5459e+00	 -4.7894e+00	 -6.4250e+00	     -8.0699	    -16.3469	     -0.1973	      0.0000	     -0.2000	    -13.6890	    -18.9582	    -23.6137	  1.5000e+00	 -8.6493e-08	  8.0000e-01	 -1.9542e-08	  3.0000e-01	 -1.0818e-06	  4.3000e+01	  4.8533e+00	 -1.3414e-05	  3.0083e-05	  1.7169e-05	  3.8115e-07	
          44	     4.85545	      18.000	-1.33454e-05	 0.000150693	     77.8958	  3.0085e-05	  1.7220e-05	  4.0001e-05	  2.0001e-05	  3.8298e-07	  5.1763e-05	  6.3375e-07	 -4.5459e+00	 -4.7882e+00	 -6.4229e+00	     -8.0656	    -16.3371	     -0.1973	     -0.0000	     -0.2000	    -13.6847	    -18.9482	    -23.6026	  1.5000e+00	 -8.8504e-08	  8.0000e-01	 -1.9997e-08	  3.0000e-01	 -1.1069e-06	  4.4000e+01	  4.8554e+00	 -1.3345e-05	  3.0085e-05	  1.7220e-05	  3.8298e-07	
          45	     4.85762	      18.000	-1.32765e-05	 0.000150718	     77.8941	  3.0088e-05	  1.7270e-05	  4.0001e-05	  2.0001e-05	  3.8485e-07	  5.1763e-05	  6.2434e-07	 -4.5459e+00	 -4.7869e+00	 -6.4208e+00	     -8.0613	    -16.3272	     -0.1973	     -0.0000	     -0.2000	    -13.6803	    -18.9383	    -23.5914	  1.5000e+00	 -9.0516e-08	  8.0000e-01	 -2.0451e-08	  3.0000e-01	 -1.1321e-06	  4.5000e+01	  4.8576e+00	 -1.3277e-05	  3.0088e-05	  1.7270e-05	  3.8485e-07	
          46	      4.8598	      18.000	-1.32075e-05	 0.000150742	     77.8925	  3.0090e-05	  1.7321e-05	  4.0001e-05	  2.0001e-05	  3.8673e-07	  5.1763e-05	  6.1500e-07	 -4.5458e+00	 -4.7856e+00	 -6.4187e+00	     -8.0570	    -16.3173	     -0.1973	      0.0000	     -0.2000	    -13.6759	    -18.9282	    -23.5801	  1.5000e+00	 -9.2527e-08	  8.0000e-01	 -2.0906e-08	  3.0000e-01	 -1.1572e-06	  4.6000e+01	  4.8598e+00	 -1.3207e-05	  3.0090e-05	  1.7321e-05	  3.8673e-07	
          47	       4.862	      18.000	-1.31381e-05	 0.000150767	     77.8908	  3.0093e-05	  1.7372e-05	  4.0001e-05	  2.0001e-05	  3.8864e-07	  5.1763e-05	  6.0573e-07	 -4.5458e+00	 -4.7843e+00	 -6.4165e+00	     -8.0526	    -16.3073	     -0.1973	      0.0000	     -0.2000	    -13.6715	    -18.9181	    -23.5687	  1.5000e+00	 -9.4538e-08	  8.0000e-01	 -2.1360e-08	  3.0000e-01	 -1.1824e-06	  4.7000e+01	  4.8620e+00	 -1.3138e-05	  3.0093e-05	  1.7372e-05	  3.8864e-07	
          48	     4.86422	      18.000	-1.30686e-05	 0.000150792	     77.8891	  3.0095e-05	  1.7423e-05	  4.0001e-05	  2.0001e-05	  3.9057e-07	  5.1763e-05	  5.9652e-07	 -4.5458e+00	 -4.7831e+00	 -6.4144e+00	     -8.0482	    -16.2973	     -0.1973	     -0.0000	     -0.2000	    -13.6670	    -18.9080	    -23.5573	  1.5000e+00	 -9.6550e-08	  8.0000e-01	 -2.1815e-08	  3.0000e-01	 -1.2075e-06	  4.8000e+01	  4.8642e+00	 -1.3069e-05	  3.0095e-05	  1.7423e-05	  3.9057e-07	
          49	     4.86645	      18.000	-1.29989e-05	 0.000150818	     77.8874	  3.0098e-05	  1.7473e-05	  4.0001e-05	  2.0001e-05	  3.9253e-07	  5.1763e-05	  5.8739e-07	 -4.5457e+00	 -4.7818e+00	 -6.4122e+00	     -8.0438	    -16.2872	     -0.1973	     -0.0000	     -0.2000	    -13.6625	    -18.8977	    -23.5459	  1.5000e+00	 -9.8561e-08	  8.0000e-01	 -2.2269e-08	  3.0000e-01	 -1.2327e-06	  4.9000e+01	  4.8665e+00	 -1.2999e-05	  3.0098e-05	  1.7473e-05	  3.9253e-07	
          50	     4.86871	      18.000	-1.29289e-05	 0.000150843	     77.8856	  3.0100e-05	  1.7524e-05	  4.0001e-05	  2.0001e-05	  3.9451e-07	  5.1763e-05	  5.7832e-07	 -4.5457e+00	 -4.7806e+00	 -6.4100e+00	     -8.0393	    -16.2770	     -0.1973	      0.0000	     -0.2000	    -13.6580	    -18.8874	    -23.5344	  1.5000e+00	 -1.0057e-07	  8.0000e-01	 -2.2724e-08	  3.0000e-01	 -1.2579e-06	  5.0000e+01	  4.8687e+00	 -1.2929e-05	  3.0100e-05	  1.7524e-05	  3.9451e-07	
          51	     4.87098	      18.000	-1.28587e-05	 0.000150869	     77.8839	  3.0103e-05	  1.7575e-05	  4.0001e-05	  2.0001e-05	  3.9652e-07	  5.1763e-05	  5.6933e-07	 -4.5457e+00	 -4.7793e+00	 -6.4078e+00	     -8.0348	    -16.2668	     -0.1973	      0.0000	     -0.2000	    -13.6534	    -18.8771	    -23.5228	  1.5000e+00	 -1.0258e-07	  8.0000e-01	 -2.3178e-08	  3.0000e-01	 -1.2830e-06	  5.1000e+01	  4.8710e+00	 -1.2859e-05	  3.0103e-05	  1.7575e-05	  3.9652e-07	
          52	     4.87327	      18.000	-1.27882e-05	 0.000150895	     77.8821	  3.0105e-05	  1.7626e-05	  4.0001e-05	  2.0001e-05	  3.9855e-07	  5.1763e-05	  5.6040e-07	 -4.5456e+00	 -4.7781e+00	 -6.4056e+00	     -8.0302	    -16.2565	     -0.1973	      0.0000	     -0.2000	    -13.6488	    -18.8666	    -23.5111	  1.5000e+00	 -1.0460e-07	  8.0000e-01	 -2.3633e-08	  3.0000e-01	 -1.3082e-06	  5.2000e+01	  4.8733e+00	 -1.2788e-05	  3.0105e-05	  1.7626e-05	  3.9855e-07	
          53	     4.87557	      18.000	-1.27176e-05	 0.000150922	     77.8803	  3.0107e-05	  1.7676e-05	  4.0001e-05	  2.0001e-05	  4.0061e-07	  5.1763e-05	  5.5155e-07	 -4.5456e+00	 -4.7768e+00	 -6.4033e+00	     -8.0257	    -16.2461	     -0.1973	      0.0000	     -0.2000	    -13.6441	    -18.8561	    -23.4994	  1.5000e+00	 -1.0661e-07	  8.0000e-01	 -2.4087e-08	  3.0000e-01	 -1.3333e-06	  5.3000e+01	  4.8756e+00	 -1.2718e-05	  3.0107e-05	  1.7676e-05	  4.0061e-07	
          54	      4.8779	      18.000	-1.26467e-05	 0.000150948	     77.8785	  3.0110e-05	  1.7727e-05	  4.0001e-05	  2.0001e-05	  4.0270e-07	  5.1763e-05	  5.4276e-07	 -4.5456e+00	 -4.7756e+00	 -6.4011e+00	     -8.0210	    -16.2357	     -0.1973	     -0.0000	     -0.2000	    -13.6394	    -18.8455	    -23.4876	  1.5000e+00	 -1.0862e-07	  8.0000e-01	 -2.4542e-08	  3.0000e-01	 -1.3585e-06	  5.4000e+01	  4.8779e+00	 -1.2647e-05	  3.0110e-05	  1.7727e-05	  4.0270e-07	
          55	     4.88024	      18.000	-1.25756e-05	 0.000150975	     77.8766	  3.0112e-05	  1.7778e-05	  4.0001e-05	  2.0001e-05	  4.0482e-07	  5.1763e-05	  5.3404e-07	 -4.5455e+00	 -4.7743e+00	 -6.3988e+00	     -8.0164	    -16.2252	     -0.1973	      0.0000	     -0.2000	    -13.6347	    -18.8349	    -23.4757	  1.5000e+00	 -1.1063e-07	  8.0000e-01	 -2.4996e-08	  3.0000e-01	 -1.3836e-06	  5.5000e+01	  4.8802e+00	 -1.2576e-05	  3.0112e-05	  1.7778e-05	  4.0482e-07	
          56	     4.88261	      18.000	-1.25042e-05	 0.000151002	     77.8748	  3.0115e-05	  1.7828e-05	  4.0001e-05	  2.0001e-05	  4.0696e-07	  5.1763e-05	  5.2540e-07	 -4.5455e+00	 -4.7731e+00	 -6.3965e+00	     -8.0117	    -16.2146	     -0.1973	     -0.0000	     -0.2000	    -13.6299	    -18.8241	    -23.4638	  1.5000e+00	 -1.1264e-07	  8.0000e-01	 -2.5451e-08	  3.0000e-01	 -1.4088e-06	  5.6000e+01	  4.8826e+00	 -1.2504e-05	  3.0115e-05	  1.7828e-05	  4.0696e-07	
          57	     4.88499	      18.000	-1.24326e-05	  0.00015103	     77.8729	  3.0117e-05	  1.7879e-05	  4.0001e-05	  2.0001e-05	  4.0913e-07	  5.1763e-05	  5.1682e-07	 -4.5455e+00	 -4.7719e+00	 -6.3942e+00	     -8.0070	    -16.2039	     -0.1973	     -0.0000	     -0.2000	    -13.6251	    -18.8133	    -23.4518	  1.5000e+00	 -1.1465e-07	  8.0000e-01	 -2.5905e-08	  3.0000e-01	 -1.4340e-06	  5.7000e+01	  4.8850e+00	 -1.2433e-05	  3.0117e-05	  1.7879e-05	  4.0913e-07	
          58	      4.8874	      18.000	-1.23608e-05	 0.000151057	      77.871	  3.0120e-05	  1.7930e-05	  4.0001e-05	  2.0001e-05	  4.1133e-07	  5.1763e-05	  5.0831e-07	 -4.5454e+00	 -4.7706e+00	 -6.3919e+00	     -8.0022	    -16.1932	     -0.1973	      0.0000	     -0.2000	    -13.6203	    -18.8025	    -23.4397	  1.5000e+00	 -1.1666e-07	  8.0000e-01	 -2.6360e-08	  3.0000e-01	 -1.4591e-06	  5.8000e+01	  4.8874e+00	 -1.2361e-05	  3.0120e-05	  1.7930e-05	  4.1133e-07	
          59	     4.88982	      18.000	-1.22888e-05	 0.000151085	     77.8691	  3.0122e-05	  1.7981e-05	  4.0001e-05	  2.0001e-05	  4.1357e-07	  5.1763e-05	  4.9988e-07	 -4.5454e+00	 -4.7694e+00	 -6.3895e+00	     -7.9974	    -16.1824	     -0.1973	     -0.0000	     -0.2000	    -13.6154	    -18.7915	    -23.4276	  1.5000e+00	 -1.1868e-07	  8.0000e-01	 -2.6814e-08	  3.0000e-01	 -1.4843e-06	  5.9000e+01	  4.8898e+00	 -1.2289e-05	  3.0122e-05	  1.7981e-05	  4.1357e-07	
          60	     4.89226	      18.000	-1.22165e-05	 0.000151113	     77.8671	  3.0125e-05	  1.8031e-05	  4.0001e-05	  2.0001e-05	  4.1583e-07	  5.1763e-05	  4.9152e-07	 -4.5454e+00	 -4.7682e+00	 -6.3872e+00	     -7.9925	    -16.1715	     -0.1973	      0.0000	     -0.2000	    -13.6105	    -18.7805	    -23.4154	  1.5000e+00	 -1.2069e-07	  8.0000e-01	 -2.7269e-08	  3.0000e-01	 -1.5094e-06	  6.0000e+01	  4.8923e+00	 -1.2216e-05	  3.0125e-05	  1.8031e-05	  4.1583e-07	
          61	     4.89473	      18.000	-1.21439e-05	 0.000151141	     77.8651	  3.0127e-05	  1.8082e-05	  4.0001e-05	  2.0001e-05	  4.1812e-07	  5.1763e-05	  4.8323e-07	 -4.5453e+00	 -4.7670e+00	 -6.3848e+00	     -7.9877	    -16.1605	     -0.1973	     -0.0000	     -0.2000	    -13.6055	    -18.7694	    -23.4031	  1.5000e+00	 -1.2270e-07	  8.0000e-01	 -2.7723e-08	  3.0000e-01	 -1.5346e-06	  6.1000e+01	  4.8947e+00	 -1.2144e-05	  3.0127e-05	  1.8082e-05	  4.1812e-07	
          62	     4.89721	      18.000	-1.20712e-05	  0.00015117	     77.8631	  3.0130e-05	  1.8133e-05	  4.0001e-05	  2.0001e-05	  4.2045e-07	  5.1763e-05	  4.7501e-07	 -4.5453e+00	 -4.7658e+00	 -6.3824e+00	     -7.9827	    -16.1495	     -0.1973	     -0.0000	     -0.2000	    -13.6005	    -18.7582	    -23.3907	  1.5000e+00	 -1.2471e-07	  8.0000e-01	 -2.8177e-08	  3.0000e-01	 -1.5597e-06	  6.2000e+01	  4.8972e+00	 -1.2071e-05	  3.0130e-05	  1.8133e-05	  4.2045e-07	
          63	     4.89972	      18.000	-1.19982e-05	 0.000151199	     77.8611	  3.0132e-05	  1.8184e-05	  4.0001e-05	  2.0001e-05	  4.2281e-07	  5.1763e-05	  4.6686e-07	 -4.5453e+00	 -4.7645e+00	 -6.3799e+00	     -7.9778	    -16.1384	     -0.1973	      0.0000	     -0.2000	    -13.5955	    -18.7469	    -23.3783	  1.5000e+00	 -1.2672e-07	  8.0000e-01	 -2.8632e-08	  3.0000e-01	 -1.5849e-06	  6.3000e+01	  4.8997e+00	 -1.1998e-05	  3.0132e-05	  1.8184e-05	  4.2281e-07	
          64	     4.90225	      18.000	 -1.1925e-05	 0.000151228	     77.8591	  3.0135e-05	  1.8234e-05	  4.0001e-05	  2.0001e-05	  4.2520e-07	  5.1763e-05	  4.5878e-07	 -4.5452e+00	 -4.7633e+00	 -6.3775e+00	     -7.9728	    -16.1272	     -0.1973	      0.0000	     -0.2000	    -13.5904	    -18.7356	    -23.3657	  1.5000e+00	 -1.2873e-07	  8.0000e-01	 -2.9086e-08	  3.0000e-01	 -1.6101e-06	  6.4000e+01	  4.9022e+00	 -1.1925e-05	  3.0135e-05	  1.8234e-05	  4.2520e-07	
          65	      4.9048	      18.000	-1.18515e-05	 0.000151257	      77.857	  3.0137e-05	  1.8285e-05	  4.0001e-05	  2.0001e-05	  4.2762e-07	  5.1763e-05	  4.5078e-07	 -4.5452e+00	 -4.7621e+00	 -6.3750e+00	     -7.9677	    -16.1159	     -0.1973	      0.0000	     -0.2000	    -13.5853	    -18.7241	    -23.3531	  1.5000e+00	 -1.3074e-07	  8.0000e-01	 -2.9541e-08	  3.0000e-01	 -1.6352e-06	  6.5000e+01	  4.9048e+00	 -1.1851e-05	  3.0137e-05	  1.8285e-05	  4.2762e-07	
          66	     4.90737	      18.000	-1.17778e-05	 0.000151287	     77.8549	  3.0139e-05	  1.8336e-05	  4.0001e-05	  2.0001e-05	  4.3008e-07	  5.1763e-05	  4.4285e-07	 -4.5452e+00	 -4.7609e+00	 -6.3725e+00	     -7.9626	    -16.1046	     -0.1973	      0.0000	     -0.2000	    -13.5801	    -18.7126	    -23.3404	  1.5000e+00	 -1.3276e-07	  8.0000e-01	 -2.9995e-08	  3.0000e-01	 -1.6604e-06	  6.6000e+01	  4.9074e+00	 -1.1778e-05	  3.0139e-05	  1.8336e-05	  4.3008e-07	
          67	     4.90996	      18.000	-1.17038e-05	 0.000151316	     77.8528	  3.0142e-05	  1.8386e-05	  4.0001e-05	  2.0001e-05	  4.3257e-07	  5.1763e-05	  4.3499e-07	 -4.5451e+00	 -4.7597e+00	 -6.3700e+00	     -7.9575	    -16.0931	     -0.1973	      0.0000	     -0.2000	    -13.5749	    -18.7010	    -23.3277	  1.5000e+00	 -1.3477e-07	  8.0000e-01	 -3.0450e-08	  3.0000e-01	 -1.6855e-06	  6.7000e+01	  4.9100e+00	 -1.1704e-05	  3.0142e-05	  1.8386e-05	  4.3257e-07	
          68	     4.91258	      18.000	-1.16296e-05	 0.000151347	     77.8506	  3.0144e-05	  1.8437e-05	  4.0001e-05	  2.0001e-05	  4.3510e-07	  5.1763e-05	  4.2720e-07	 -4.5451e+00	 -4.7585e+00	 -6.3675e+00	     -7.9523	    -16.0816	     -0.1973	      0.0000	     -0.2000	    -13.5696	    -18.6893	    -23.3148	  1.5000e+00	 -1.3678e-07	  8.0000e-01	 -3.0904e-08	  3.0000e-01	 -1.7107e-06	  6.8000e+01	  4.9126e+00	 -1.1630e-05	  3.0144e-05	  1.8437e-05	  4.3510e-07	
          69	     4.91522	      18.000	-1.15552e-05	 0.000151377	     77.8484	  3.0147e-05	  1.8488e-05	  4.0001e-05	  2.0001e-05	  4.3767e-07	  5.1763e-05	  4.1949e-07	 -4.5451e+00	 -4.7574e+00	 -6.3649e+00	     -7.9471	    -16.0700	     -0.1973	      0.0000	     -0.2000	    -13.5643	    -18.6775	    -23.3019	  1.5000e+00	 -1.3879e-07	  8.0000e-01	 -3.1359e-08	  3.0000e-01	 -1.7358e-06	  6.9000e+01	  4.9152e+00	 -1.1555e-05	  3.0147e-05	  1.8488e-05	  4.3767e-07	
          70	     4.91788	      18.000	-1.14805e-05	 0.000151408	     77.8462	  3.0149e-05	  1.8539e-05	  4.0001e-05	  2.0001e-05	  4.4027e-07	  5.1763e-05	  4.1185e-07	 -4.5450e+00	 -4.7562e+00	 -6.3623e+00	     -7.9418	    -16.0583	     -0.1973	      0.0000	     -0.2000	    -13.5589	    -18.6657	    -23.2889	  1.5000e+00	 -1.4080e-07	  8.0000e-01	 -3.1813e-08	  3.0000e-01	 -1.7610e-06	  7.0000e+01	  4.9179e+00	 -1.1480e-05	  3.0149e-05	  1.8539e-05	  4.4027e-07	
          71	     4.92057	      18.000	-1.14055e-05	 0.000151438	      77.844	  3.0152e-05	  1.8589e-05	  4.0001e-05	  2.0001e-05	  4.4292e-07	  5.1763e-05	  4.0428e-07	 -4.5450e+00	 -4.7550e+00	 -6.3597e+00	     -7.9365	    -16.0465	     -0.1973	     -0.0000	     -0.2000	    -13.5535	    -18.6537	    -23.2757	  1.5000e+00	 -1.4281e-07	  8.0000e-01	 -3.2268e-08	  3.0000e-01	 -1.7862e-06	  7.1000e+01	  4.9206e+00	 -1.1406e-05	  3.0152e-05	  1.8589e-05	  4.4292e-07	
          72	     4.92328	      18.000	-1.13304e-05	  0.00015147	     77.8417	  3.0154e-05	  1.8640e-05	  4.0001e-05	  2.0001e-05	  4.4560e-07	  5.1763e-05	  3.9679e-07	 -4.5450e+00	 -4.7538e+00	 -6.3571e+00	     -7.9311	    -16.0346	     -0.1973	      0.0000	     -0.2000	    -13.5481	    -18.6416	    -23.2625	  1.5000e+00	 -1.4482e-07	  8.0000e-01	 -3.2722e-08	  3.0000e-01	 -1.8113e-06	  7.2000e+01	  4.9233e+00	 -1.1330e-05	  3.0154e-05	  1.8640e-05	  4.4560e-07	
          73	     4.92601	      18.000	-1.12549e-05	 0.000151501	     77.8394	  3.0157e-05	  1.8691e-05	  4.0001e-05	  2.0001e-05	  4.4832e-07	  5.1763e-05	  3.8937e-07	 -4.5449e+00	 -4.7526e+00	 -6.3545e+00	     -7.9257	    -16.0227	     -0.1973	     -0.0000	     -0.2000	    -13.5426	    -18.6295	    -23.2493	  1.5000e+00	 -1.4684e-07	  8.0000e-01	 -3.3177e-08	  3.0000e-01	 -1.8365e-06	  7.3000e+01	  4.9260e+00	 -1.1255e-05	  3.0157e-05	  1.8691e-05	  4.4832e-07	
          74	     4.92877	      18.000	-1.11793e-05	 0.000151533	      77.837	  3.0159e-05	  1.8741e-05	  4.0001e-05	  2.0001e-05	  4.5108e-07	  5.1763e-05	  3.8203e-07	 -4.5449e+00	 -4.7514e+00	 -6.3518e+00	     -7.9202	    -16.0106	     -0.1973	      0.0000	     -0.2000	    -13.5370	    -18.6173	    -23.2359	  1.5000e+00	 -1.4885e-07	  8.0000e-01	 -3.3631e-08	  3.0000e-01	 -1.8616e-06	  7.4000e+01	  4.9288e+00	 -1.1179e-05	  3.0159e-05	  1.8741e-05	  4.5108e-07	
          75	     4.93155	      18.000	-1.11033e-05	 0.000151565	     77.8347	  3.0162e-05	  1.8792e-05	  4.0001e-05	  2.0001e-05	  4.5388e-07	  5.1763e-05	  3.7476e-07	 -4.5449e+00	 -4.7503e+00	 -6.3491e+00	     -7.9147	    -15.9985	     -0.1973	      0.0000	     -0.2000	    -13.5314	    -18.6049	    -23.2224	  1.5000e+00	 -1.5086e-07	  8.0000e-01	 -3.4086e-08	  3.0000e-01	 -1.8868e-06	  7.5000e+01	  4.9316e+00	 -1.1103e-05	  3.0162e-05	  1.8792e-05	  4.5388e-07	
          76	     4.93436	      18.000	-1.10272e-05	 0.000151597	     77.8323	  3.0164e-05	  1.8843e-05	  4.0001e-05	  2.0001e-05	  4.5673e-07	  5.1763e-05	  3.6756e-07	 -4.5448e+00	 -4.7491e+00	 -6.3464e+00	     -7.9092	    -15.9862	     -0.1973	      0.0000	     -0.2000	    -13.5258	    -18.5925	    -23.2088	  1.5000e+00	 -1.5287e-07	  8.0000e-01	 -3.4540e-08	  3.0000e-01	 -1.9119e-06	  7.6000e+01	  4.9344e+00	 -1.1027e-05	  3.0164e-05	  1.8843e-05	  4.5673e-07	
          77	      4.9372	      18.000	-1.09507e-05	 0.000151629	     77.8298	  3.0167e-05	  1.8894e-05	  4.0001e-05	  2.0001e-05	  4.5962e-07	  5.1763e-05	  3.6044e-07	 -4.5448e+00	 -4.7479e+00	 -6.3437e+00	     -7.9036	    -15.9739	     -0.1973	      0.0000	     -0.2000	    -13.5201	    -18.5799	    -23.1951	  1.5000e+00	 -1.5488e-07	  8.0000e-01	 -3.4995e-08	  3.0000e-01	 -1.9371e-06	  7.7000e+01	  4.9372e+00	 -1.0951e-05	  3.0167e-05	  1.8894e-05	  4.5962e-07	
          78	     4.94006	      18.000	-1.08741e-05	 0.000151662	     77.8274	  3.0169e-05	  1.8944e-05	  4.0001e-05	  2.0001e-05	  4.6255e-07	  5.1763e-05	  3.5339e-07	 -4.5448e+00	 -4.7468e+00	 -6.3409e+00	     -7.8979	    -15.9614	     -0.1973	      0.0000	     -0.2000	    -13.5143	    -18.5673	    -23.1814	  1.5000e+00	 -1.5689e-07	  8.0000e-01	 -3.5449e-08	  3.0000e-01	 -1.9623e-06	  7.8000e+01	  4.9401e+00	 -1.0874e-05	  3.0169e-05	  1.8944e-05	  4.6255e-07	
          79	     4.94295	      18.000	-1.07971e-05	 0.000151695	     77.8249	  3.0171e-05	  1.8995e-05	  4.0001e-05	  2.0001e-05	  4.6553e-07	  5.1763e-05	  3.4641e-07	 -4.5447e+00	 -4.7456e+00	 -6.3381e+00	     -7.8922	    -15.9489	     -0.1973	     -0.0000	     -0.2000	    -13.5085	    -18.5546	    -23.1675	  1.5000e+00	 -1.5890e-07	  8.0000e-01	 -3.5904e-08	  3.0000e-01	 -1.9874e-06	  7.9000e+01	  4.9429e+00	 -1.0797e-05	  3.0171e-05	  1.8995e-05	  4.6553e-07	
          80	     4.94586	      18.000	  -1.072e-05	 0.000151729	     77.8223	  3.0174e-05	  1.9046e-05	  4.0001e-05	  2.0001e-05	  4.6856e-07	  5.1763e-05	  3.3952e-07	 -4.5447e+00	 -4.7445e+00	 -6.3353e+00	     -7.8865	    -15.9363	     -0.1973	      0.0000	     -0.2000	    -13.5027	    -18.5417	    -23.1535	  1.5000e+00	 -1.6092e-07	  8.0000e-01	 -3.6358e-08	  3.0000e-01	 -2.0126e-06	  8.0000e+01	  4.9459e+00	 -1.0720e-05	  3.0174e-05	  1.9046e-05	  4.6856e-07	
          81	      4.9488	      18.000	-1.06425e-05	 0.000151762	     77.8197	  3.0176e-05	  1.9097e-05	  4.0001e-05	  2.0001e-05	  4.7163e-07	  5.1763e-05	  3.3269e-07	 -4.5447e+00	 -4.7433e+00	 -6.3325e+00	     -7.8806	    -15.9235	     -0.1973	      0.0000	     -0.2000	    -13.4967	    -18.5288	    -23.1395	  1.5000e+00	 -1.6293e-07	  8.0000e-01	 -3.6812e-08	  3.0000e-01	 -2.0377e-06	  8.1000e+01	  4.9488e+00	 -1.0643e-05	  3.0176e-05	  1.9097e-05	  4.7163e-07	
          82	     4.95177	      18.000	-1.05648e-05	 0.000151796	     77.8171	  3.0179e-05	  1.9147e-05	  4.0001e-05	  2.0001e-05	  4.7476e-07	  5.1763e-05	  3.2594e-07	 -4.5446e+00	 -4.7422e+00	 -6.3296e+00	     -7.8748	    -15.9107	     -0.1973	      0.0000	     -0.2000	    -13.4908	    -18.5157	    -23.1253	  1.5000e+00	 -1.6494e-07	  8.0000e-01	 -3.7267e-08	  3.0000e-01	 -2.0629e-06	  8.2000e+01	  4.9518e+00	 -1.0565e-05	  3.0179e-05	  1.9147e-05	  4.7476e-07	
          83	     4.95477	      18.000	-1.04869e-05	  0.00015183	     77.8145	  3.0181e-05	  1.9198e-05	  4.0001e-05	  2.0001e-05	  4.7793e-07	  5.1763e-05	  3.1927e-07	 -4.5446e+00	 -4.7410e+00	 -6.3267e+00	     -7.8689	    -15.8977	     -0.1973	     -0.0000	     -0.2000	    -13.4847	    -18.5025	    -23.1110	  1.5000e+00	 -1.6695e-07	  8.0000e-01	 -3.7721e-08	  3.0000e-01	 -2.0880e-06	  8.3000e+01	  4.9548e+00	 -1.0487e-05	  3.0181e-05	  1.9198e-05	  4.7793e-07	
          84	     4.95779	      18.000	-1.04087e-05	 0.000151865	     77.8118	  3.0184e-05	  1.9249e-05	  4.0001e-05	  2.0001e-05	  4.8115e-07	  5.1763e-05	  3.1267e-07	 -4.5446e+00	 -4.7399e+00	 -6.3238e+00	     -7.8629	    -15.8846	     -0.1973	      0.0000	     -0.2000	    -13.4787	    -18.4893	    -23.0966	  1.5000e+00	 -1.6896e-07	  8.0000e-01	 -3.8176e-08	  3.0000e-01	 -2.1132e-06	  8.4000e+01	  4.9578e+00	 -1.0409e-05	  3.0184e-05	  1.9249e-05	  4.8115e-07	
          85	     4.96085	      18.000	-1.03302e-05	   0.0001519	      77.809	  3.0186e-05	  1.9299e-05	  4.0001e-05	  2.0001e-05	  4.8442e-07	  5.1763e-05	  3.0615e-07	 -4.5445e+00	 -4.7387e+00	 -6.3209e+00	     -7.8568	    -15.8715	     -0.1973	     -0.0000	     -0.2000	    -13.4725	    -18.4759	    -23.0821	  1.5000e+00	 -1.7097e-07	  8.0000e-01	 -3.8630e-08	  3.0000e-01	 -2.1384e-06	  8.5000e+01	  4.9608e+00	 -1.0330e-05	  3.0186e-05	  1.9299e-05	  4.8442e-07	
