        step	          pH	        temp	         Alk	          mu	     pct_err	      m_Ca+2	      m_Mg+2	        m_K+	       m_Na+	     m_HCO3-	    m_H4SiO4	      m_Al+3	     la_Ca+2	     la_Mg+2	    la_HCO3-	  si_Calcite	 si_Dolomite	 si_Gibbsite	si_Kaolinite	   si_Quartz	si_Anorthite	 si_Diopside	si_Forsterite	 k_Anorthite	dk_Anorthite	  k_Diopside	 dk_Diopside	k_Forsterite	dk_Forsterite	        Step	          pH	  Alkalinity	     Ca_conc	     Mg_conc	   HCO3_conc	
          10	      4.7905	      18.000	-1.55623e-05	 0.000149991	     77.9432	  3.0002e-05	  1.5495e-05	  4.0001e-05	  2.0001e-05	  3.3108e-07	  5.1763e-05	  9.9230e-07	 -4.5470e+00	 -4.8339e+00	 -6.4861e+00	     -8.1950	    -16.6404	     -0.1973	     -0.0000	     -0.2000	    -13.8157	    -19.2550	    -23.9539	  1.5000e+00	 -2.0115e-08	  8.0000e-01	 -4.5448e-09	  3.0000e-01	 -2.5157e-07	  1.0000e+01	  4.7905e+00	 -1.5562e-05	  3.0002e-05	  1.5495e-05	  3.3108e-07	
          11	      4.7922	      18.000	-1.55004e-05	 0.000150008	      77.942	  3.0004e-05	  1.5546e-05	  4.0001e-05	  2.0001e-05	  3.3235e-07	  5.1763e-05	  9.8073e-07	 -4.5470e+00	 -4.8325e+00	 -6.4845e+00	     -8.1916	    -16.6322	     -0.1973	     -0.0000	     -0.2000	    -13.8123	    -19.2467	    -23.9443	  1.5000e+00	 -2.2126e-08	  8.0000e-01	 -4.9992e-09	  3.0000e-01	 -2.7673e-07	  1.1000e+01	  4.7922e+00	 -1.5500e-05	  3.0004e-05	  1.5546e-05	  3.3235e-07	
          12	     4.79391	      18.000	-1.54382e-05	 0.000150026	     77.9408	  3.0006e-05	  1.5597e-05	  4.0001e-05	  2.0001e-05	  3.3363e-07	  5.1763e-05	  9.6922e-07	 -4.5470e+00	 -4.8311e+00	 -6.4828e+00	     -8.1882	    -16.6240	     -0.1973	      0.0000	     -0.2000	    -13.8088	    -19.2384	    -23.9346	  1.5000e+00	 -2.4137e-08	  8.0000e-01	 -5.4537e-09	  3.0000e-01	 -3.0189e-07	  1.2000e+01	  4.7939e+00	 -1.5438e-05	  3.0006e-05	  1.5597e-05	  3.3363e-07	
          13	     4.79563	      18.000	-1.53759e-05	 0.000150043	     77.9396	  3.0009e-05	  1.5647e-05	  4.0001e-05	  2.0001e-05	  3.3492e-07	  5.1763e-05	  9.5776e-07	 -4.5469e+00	 -4.8297e+00	 -6.4811e+00	     -8.1847	    -16.6158	     -0.1973	     -0.0000	     -0.2000	    -13.8054	    -19.2301	    -23.9249	  1.5000e+00	 -2.6149e-08	  8.0000e-01	 -5.9082e-09	  3.0000e-01	 -3.2704e-07	  1.3000e+01	  4.7956e+00	 -1.5376e-05	  3.0009e-05	  1.5647e-05	  3.3492e-07	
          14	     4.79736	      18.000	-1.53134e-05	 0.000150061	     77.9384	  3.0011e-05	  1.5698e-05	  4.0001e-05	  2.0001e-05	  3.3623e-07	  5.1763e-05	  9.4637e-07	 -4.5469e+00	 -4.8283e+00	 -6.4794e+00	     -8.1813	    -16.6075	     -0.1973	     -0.0000	     -0.2000	    -13.8019	    -19.2217	    -23.9152	  1.5000e+00	 -2.8160e-08	  8.0000e-01	 -6.3627e-09	  3.0000e-01	 -3.5220e-07	  1.4000e+01	  4.7974e+00	 -1.5313e-05	  3.0011e-05	  1.5698e-05	  3.3623e-07	
          15	     4.79911	      18.000	-1.52507e-05	 0.000150079	     77.9371	  3.0014e-05	  1.5749e-05	  4.0001e-05	  2.0001e-05	  3.3755e-07	  5.1763e-05	  9.3504e-07	 -4.5469e+00	 -4.8269e+00	 -6.4777e+00	     -8.1778	    -16.5992	     -0.1973	     -0.0000	     -0.2000	    -13.7983	    -19.2133	    -23.9054	  1.5000e+00	 -3.0172e-08	  8.0000e-01	 -6.8171e-09	  3.0000e-01	 -3.7736e-07	  1.5000e+01	  4.7991e+00	 -1.5251e-05	  3.0014e-05	  1.5749e-05	  3.3755e-07	
          16	     4.80087	      18.000	-1.51879e-05	 0.000150097	     77.9359	  3.0016e-05	  1.5799e-05	  4.0001e-05	  2.0001e-05	  3.3888e-07	  5.1763e-05	  9.2377e-07	 -4.5468e+00	 -4.8255e+00	 -6.4760e+00	     -8.1743	    -16.5908	     -0.1973	      0.0000	     -0.2000	    -13.7948	    -19.2049	    -23.8956	  1.5000e+00	 -3.2183e-08	  8.0000e-01	 -7.2716e-09	  3.0000e-01	 -4.0252e-07	  1.6000e+01	  4.8009e+00	 -1.5188e-05	  3.0016e-05	  1.5799e-05	  3.3888e-07	
          17	     4.80263	      18.000	-1.51248e-05	 0.000150116	     77.9346	  3.0019e-05	  1.5850e-05	  4.0001e-05	  2.0001e-05	  3.4023e-07	  5.1763e-05	  9.1256e-07	 -4.5468e+00	 -4.8241e+00	 -6.4743e+00	     -8.1708	    -16.5824	     -0.1973	      0.0000	     -0.2000	    -13.7912	    -19.1964	    -23.8857	  1.5000e+00	 -3.4195e-08	  8.0000e-01	 -7.7261e-09	  3.0000e-01	 -4.2767e-07	  1.7000e+01	  4.8026e+00	 -1.5125e-05	  3.0019e-05	  1.5850e-05	  3.4023e-07	
          18	     4.80441	      18.000	-1.50615e-05	 0.000150135	     77.9333	  3.0021e-05	  1.5901e-05	  4.0001e-05	  2.0001e-05	  3.4159e-07	  5.1763e-05	  9.0141e-07	 -4.5468e+00	 -4.8227e+00	 -6.4725e+00	     -8.1672	    -16.5739	     -0.1973	     -0.0000	     -0.2000	    -13.7876	    -19.1878	    -23.8758	  1.5000e+00	 -3.6206e-08	  8.0000e-01	 -8.1806e-09	  3.0000e-01	 -4.5283e-07	  1.8000e+01	  4.8044e+00	 -1.5062e-05	  3.0021e-05	  1.5901e-05	  3.4159e-07	
          19	     4.80621	      18.000	-1.49981e-05	 0.000150153	     77.9321	  3.0024e-05	  1.5952e-05	  4.0001e-05	  2.0001e-05	  3.4297e-07	  5.1763e-05	  8.9032e-07	 -4.5467e+00	 -4.8213e+00	 -6.4708e+00	     -8.1636	    -16.5654	     -0.1973	      0.0000	     -0.2000	    -13.7840	    -19.1792	    -23.8659	  1.5000e+00	 -3.8218e-08	  8.0000e-01	 -8.6350e-09	  3.0000e-01	 -4.7799e-07	  1.9000e+01	  4.8062e+00	 -1.4998e-05	  3.0024e-05	  1.5952e-05	  3.4297e-07	
